BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
436411, ,15:00:00,2024-03-04 00:00:00,OSB,19420,Yes,No,,1.0,Not Applicable,47,2024-05-08 15:00:45.400,
436425,,09:30:00,2024-02-26 00:00:00,61,34244,Yes,No,,1.0,Not Applicable,47,2024-05-08 15:00:45.430,
436433,,15:45:00,2024-03-04 00:00:00,190,28653,Yes,No,,13.0,Not Applicable,47,2024-05-08 15:00:45.430,
436442,,18:07:00,2024-03-04 00:00:00,172,22690,Yes,No,,1.0,Not Applicable,47,2024-05-08 15:00:45.410,
436459,,01:55:00,2024-03-05 00:00:00,OSB,34760,Yes,No,,1.0,Not Applicable,47,2024-05-08 15:00:45.400,
436609,,07:34:00,2024-03-06 00:00:00,927,72749,Yes,No,,1.0,Not Applicable,46,2024-05-08 15:00:45.510,
436662,,18:14:00,2024-02-27 00:00:00,178,34119,Yes,No,,1.0,Not Applicable,46,2024-05-08 15:00:45.430,
436669,,16:32:00,2024-03-06 00:00:00,61,22893,Yes,No,,1.0,Not Applicable,45,2024-05-08 15:00:45.410,
436713,,07:11:00,2024-03-07 00:00:00,178,23767,Yes,No,,1.0,Not Applicable,45,2024-05-08 15:00:45.470,
436720,,08:57:00,2024-03-07 00:00:00,67,67315,Yes,No,,1.0,Not Applicable,45,2024-05-08 15:00:45.430,
436797,,18:22:00,2024-03-07 00:00:00,307T,35010,Yes,No,,1.0,Not Applicable,43,2024-05-08 15:00:45.430,
436999,,15:05:00,2024-03-09 00:00:00,61,19931,Yes,No,,12.0,Not Applicable,43,2024-05-08 15:00:45.400,
437023,Duplicate,20:11:00,2024-03-09 00:00:00,901M,23212,Yes,No,,1.0,Not Applicable,43,2024-05-08 15:00:45.510,
437111,,17:57:00,2024-03-10 00:00:00,67,24014,Yes,No,,1.0,Not Applicable,43,2024-05-08 15:00:45.430,
437282,,07:58:00,2024-03-12 00:00:00,975,67386,Yes,No,,1.0,Not Applicable,42,2024-05-08 15:00:45.520,
437297,Duplicate,08:59:00,2024-03-12 00:00:00,920,74662,Yes,No,,1.0,Not Applicable,42,2024-05-08 15:00:45.400,
